-999 -999 -999    14.43400 -999.00000   15.72791 -999.00000 -999.00000
-999 -999 -999    16.73500 -999.00000   15.91633 -999.00000 -999.00000
-999 -999 -999    18.33700 -999.00000   16.23997 -999.00000 -999.00000
-999 -999 -999    18.21700 -999.00000   16.58311 -999.00000 -999.00000
-999 -999 -999    19.56500 -999.00000   16.93228 -999.00000 -999.00000
-999 -999 -999    19.46700 -999.00000   17.28715 -999.00000 -999.00000
-999 -999 -999    19.45800 -999.00000   17.58492 -999.00000 -999.00000
-999 -999 -999    20.05900 -999.00000   17.86645 -999.00000 -999.00000
-999 -999 -999    19.57000 -999.00000   18.11107 -999.00000 -999.00000
-999 -999 -999    18.91500 -999.00000   18.26335 -999.00000 -999.00000
-999 -999 -999    19.01700 -999.00000   18.37277 -999.00000 -999.00000
-999 -999 -999    19.87300 -999.00000   18.52617 -999.00000 -999.00000
-999 -999 -999    21.84800 -999.00000   18.80963 -999.00000 -999.00000
-999 -999 -999    21.86700 -999.00000   19.15068 -999.00000 -999.00000
-999 -999 -999    22.69200 -999.00000   19.47416 -999.00000 -999.00000
-999 -999 -999    23.17100 -999.00000   19.80932 -999.00000 -999.00000
-999 -999 -999    20.91800 -999.00000   19.97192 -999.00000 -999.00000
-999 -999 -999    15.76400 -999.00000   19.66926 -999.00000 -999.00000
-999 -999 -999    13.80400 -999.00000   19.08628 -999.00000 -999.00000
-999 -999 -999    14.48200 -999.00000   18.66673 -999.00000 -999.00000
-999 -999 -999    14.59700 -999.00000   18.45091 -999.00000 -999.00000
-999 -999 -999    14.37800 -999.00000   18.31873 -999.00000 -999.00000
-999 -999 -999    17.31500 -999.00000   18.38541 -999.00000 -999.00000
-999 -999 -999    19.68500 -999.00000   18.72725 -999.00000 -999.00000
-999 -999 -999    20.08200 -999.00000   19.15296 -999.00000 -999.00000
-999 -999 -999    19.05000 -999.00000   19.45989 -999.00000 -999.00000
-999 -999 -999    19.64000 -999.00000   19.68199 -999.00000 -999.00000
-999 -999 -999    18.99000 -999.00000   19.86131 -999.00000 -999.00000
-999 -999 -999    19.73000 -999.00000   20.01770 -999.00000 -999.00000
-999 -999 -999    19.26100 -999.00000   20.16814 -999.00000 -999.00000
-999 -999 -999    20.02700 -999.00000   20.31568 -999.00000 -999.00000
-999 -999 -999    19.99700 -999.00000   20.48809 -999.00000 -999.00000
-999 -999 -999    19.33100 -999.00000   20.58753 -999.00000 -999.00000
-999 -999 -999    18.42100 -999.00000   20.58035 -999.00000 -999.00000
-999 -999 -999    16.81500 -999.00000   20.44265 -999.00000 -999.00000
-999 -999 -999    15.23200 -999.00000   20.18033 -999.00000 -999.00000
-999 -999 -999    14.82300 -999.00000   19.91611 -999.00000 -999.00000
-999 -999 -999    15.42500 -999.00000   19.78070 -999.00000 -999.00000
